Dags,Konnun,Flokkur,Fylgi
31.08.2008,Capacent,Framsóknarflokkur,"9,7"
30.09.2008,Capacent,Framsóknarflokkur,"9,9"
31.10.2008,Capacent,Framsóknarflokkur,"10,4"
30.11.2008,Capacent,Framsóknarflokkur,"7,6"
31.12.2008,Capacent,Framsóknarflokkur,"7,6"
31.01.2009,Capacent,Framsóknarflokkur,"15,2"
28.02.2009,Capacent,Framsóknarflokkur,"14,1"
31.03.2009,Capacent,Framsóknarflokkur,"11,8"
30.04.2009,Capacent,Framsóknarflokkur,"10,4"
31.05.2009,Capacent,Framsóknarflokkur,"14,5"
30.06.2009,Capacent,Framsóknarflokkur,"17,2"
31.07.2009,Capacent,Framsóknarflokkur,"17,4"
31.08.2009,Capacent,Framsóknarflokkur,"14,8"
30.09.2009,Capacent,Framsóknarflokkur,"17,8"
31.10.2009,Capacent,Framsóknarflokkur,"16,4"
30.11.2009,Capacent,Framsóknarflokkur,"15,7"
31.12.2009,Capacent,Framsóknarflokkur,"14,5"
31.01.2010,Capacent,Framsóknarflokkur,"12,7"
28.02.2010,Capacent,Framsóknarflokkur,"14,4"
31.03.2010,Capacent,Framsóknarflokkur,"14,2"
30.04.2010,Capacent,Framsóknarflokkur,"13,8"
31.05.2010,Capacent,Framsóknarflokkur,"13,8"
30.06.2010,Capacent,Framsóknarflokkur,"12,2"
31.07.2010,Capacent,Framsóknarflokkur,"12,4"
31.08.2010,Capacent,Framsóknarflokkur,12
30.09.2010,Capacent,Framsóknarflokkur,"11,8"
31.10.2010,Capacent,Framsóknarflokkur,12
30.11.2010,Capacent,Framsóknarflokkur,"12,9"
31.12.2010,Capacent,Framsóknarflokkur,"13,5"
31.01.2011,Capacent,Framsóknarflokkur,"13,4"
28.02.2011,Capacent,Framsóknarflokkur,"13,6"
31.03.2011,Capacent,Framsóknarflokkur,"13,6"
30.04.2011,Capacent,Framsóknarflokkur,"15,7"
31.05.2011,Capacent,Framsóknarflokkur,"16,3"
30.06.2011,Capacent,Framsóknarflokkur,"17,6"
31.07.2011,Capacent,Framsóknarflokkur,"16,2"
31.08.2011,Capacent,Framsóknarflokkur,"16,8"
30.09.2011,Capacent,Framsóknarflokkur,"15,5"
31.10.2011,Capacent,Framsóknarflokkur,"15,5"
30.11.2011,Capacent,Framsóknarflokkur,"14,6"
31.12.2011,Capacent,Framsóknarflokkur,"14,4"
31.01.2012,Capacent,Framsóknarflokkur,"15,4"
29.02.2012,Capacent,Framsóknarflokkur,13
31.03.2012,Capacent,Framsóknarflokkur,13
30.04.2012,Capacent,Framsóknarflokkur,"12,5"
31.05.2012,Capacent,Framsóknarflokkur,"12,9"
30.06.2012,Capacent,Framsóknarflokkur,"12,7"
31.07.2012,Capacent,Framsóknarflokkur,"12,4"
31.08.2012,Capacent,Framsóknarflokkur,"13,8"
30.09.2012,Capacent,Framsóknarflokkur,"14,2"
31.10.2012,Capacent,Framsóknarflokkur,"12,1"
30.11.2012,Capacent,Framsóknarflokkur,"12,7"
31.12.2012,Capacent,Framsóknarflokkur,"13,1"
31.01.2013,Capacent,Framsóknarflokkur,"14,2"
28.02.2013,Capacent,Framsóknarflokkur,"22,1"
14.03.2013,Capacent,Framsóknarflokkur,"25,5"
02.04.2013,Capacent,Framsóknarflokkur,"28,3"
11.04.2013,Capacent,Framsóknarflokkur,"29,6"
18.04.2013,Capacent,Framsóknarflokkur,"26,7"
26.04.2013,Capacent,Framsóknarflokkur,"24,7"
31.05.2013,Capacent,Framsóknarflokkur,"21,4"
30.06.2013,Capacent,Framsóknarflokkur,"19,9"
31.07.2013,Capacent,Framsóknarflokkur,"17,8"
31.08.2013,Capacent,Framsóknarflokkur,"16,3"
30.09.2013,Capacent,Framsóknarflokkur,"17,6"
31.10.2013,Capacent,Framsóknarflokkur,"14,4"
30.11.2013,Capacent,Framsóknarflokkur,"14,7"
31.12.2013,Capacent,Framsóknarflokkur,"16,4"
